Hand,Played,Won,Even,Lost
AAAAK,2712,99.2%,0.0%,0.8%
AAAAQ,2644,99.4%,0.0%,0.6%
AAAAJ,2549,99.2%,0.0%,0.8%
AAAAT,2548,99.3%,0.0%,0.7%
AAAKK,15449,84.3%,6.4%,9.3%
AAAKQ,41464,67.1%,18.0%,14.9%
AAAKJ,41185,66.3%,17.9%,15.9%
AAAKT,41273,65.5%,17.9%,16.6%
AAAQQ,15419,79.1%,7.4%,13.5%
AAAQJ,41540,65.5%,16.9%,17.6%
AAAQT,41433,65.0%,16.8%,18.2%
AAAJJ,15281,75.1%,8.3%,16.6%
AAAJT,41151,64.6%,16.5%,19.0%
AAATT,15541,73.7%,8.4%,17.9%
AAKKK,15829,77.1%,7.9%,15.0%
AAKKQ,92600,35.6%,17.0%,47.4%
AAKKJ,92865,35.3%,17.2%,47.5%
AAKKT,92693,35.5%,17.0%,47.5%
AAKQQ,93022,31.5%,17.9%,50.6%
AAKQJ,247853,21.0%,26.3%,52.6%
AAKQT,247950,21.0%,26.3%,52.7%
AAKJJ,93201,30.4%,17.3%,52.3%
AAKJT,246873,21.0%,25.8%,53.2%
AAKTT,93093,29.3%,16.7%,54.0%
AAQQQ,15585,70.5%,7.3%,22.2%
AAQQJ,92957,33.4%,16.6%,50.0%
AAQQT,92669,33.4%,16.5%,50.1%
AAQJJ,92884,30.4%,16.8%,52.8%
AAQJT,248073,20.7%,25.5%,53.8%
AAQTT,92833,29.5%,16.3%,54.2%
AAJJJ,15405,65.3%,7.6%,27.1%
AAJJT,92472,31.8%,15.9%,52.3%
AAJTT,92650,29.3%,16.3%,54.4%
AATTT,15545,61.2%,6.4%,32.4%
AKKKK,2584,98.3%,0.0%,1.7%
AKKKQ,41551,58.6%,18.5%,22.9%
AKKKJ,41413,58.1%,18.3%,23.6%
AKKKT,41266,57.3%,18.3%,24.5%
AKKQQ,92890,28.6%,17.7%,53.7%
AKKQJ,247508,19.3%,25.9%,54.9%
AKKQT,248299,19.3%,25.7%,55.0%
AKKJJ,92429,27.4%,17.4%,55.2%
AKKJT,247807,19.1%,25.5%,55.4%
