Hand,Played,Won,Even,Lost
AA,31647,54.0%,11.5%,34.5%
AK,84056,30.5%,23.6%,45.9%
AQ,84648,28.6%,23.3%,48.1%
AJ,84395,26.9%,23.3%,49.8%
AT,83698,25.0%,23.1%,51.9%
KK,31469,46.1%,12.2%,41.8%
KQ,83874,27.0%,23.2%,49.8%
KJ,84293,24.5%,23.3%,52.2%
KT,84555,23.0%,23.1%,54.0%
QQ,31711,38.7%,13.5%,47.8%
QJ,84595,22.9%,23.0%,54.1%
QT,83775,21.2%,23.2%,55.6%
JJ,31659,32.6%,14.8%,52.7%
JT,84301,19.6%,22.7%,57.7%
TT,31324,27.1%,15.2%,57.7%
