Hand,Played,Won,Even,Lost
AA,63096,64.1%,11.5%,24.4%
AK,169159,43.0%,24.1%,32.9%
AQ,168595,40.6%,24.5%,35.0%
AJ,168570,38.4%,25.1%,36.5%
AT,168313,36.8%,25.2%,38.0%
KK,63200,56.7%,12.2%,31.0%
KQ,167469,38.2%,24.6%,37.2%
KJ,168532,35.9%,25.1%,38.9%
KT,167936,34.7%,25.0%,40.3%
QQ,63193,49.4%,13.4%,37.1%
QJ,168902,33.6%,25.0%,41.4%
QT,168541,32.2%,25.0%,42.7%
JJ,62993,41.8%,14.9%,43.3%
JT,168520,29.9%,24.6%,45.5%
TT,62981,37.7%,15.4%,46.9%
