Hand,Played,Won,Even,Lost
AA,31711,49.8%,8.2%,42.0%
AK,84125,25.6%,18.2%,56.1%
AQ,83774,24.1%,18.2%,57.7%
AJ,84654,22.7%,18.0%,59.4%
AT,84050,21.1%,17.8%,61.1%
KK,31398,40.8%,10.2%,48.9%
KQ,83894,22.9%,17.8%,59.4%
KJ,83876,21.5%,17.5%,61.0%
KT,83729,20.1%,17.3%,62.6%
QQ,31509,33.4%,11.3%,55.3%
QJ,84401,20.0%,17.2%,62.8%
QT,84865,18.7%,16.8%,64.5%
JJ,31513,26.6%,12.4%,61.1%
JT,84605,17.4%,16.7%,65.9%
TT,31896,22.5%,12.8%,64.7%
